id,shop_id,first_name,last_name,email,address,postal_code,city,created,updated,paid,braintree_id,username,phone_number
1,4,jackie,ng,jackie@123.hk,"","","",2024-10-04 19:53:28.55733+08,2024-10-04 19:53:28.557343+08,f,"","",123456
2,4,jackie,ng,jackie@123.hk,"","","",2024-10-04 20:16:13.040759+08,2024-10-04 20:16:13.040771+08,f,"","",123456
3,4,jackie,ng,jackie@123.hk,"","","",2024-10-04 20:16:19.903598+08,2024-10-04 20:16:19.903612+08,f,"","",123456
4,4,jackie,ng,jaki@yahoo.com,"","","",2024-10-04 20:17:46.182394+08,2024-10-04 20:17:46.182406+08,f,"","",123456
5,4,jackie,ng,jacki@1.com,"","","",2024-10-04 20:26:12.704006+08,2024-10-04 20:26:38.356822+08,t,0sszay50,"",12
6,4,jackie,ng,jackie@1.com,"","","",2024-10-04 21:25:45.021451+08,2024-10-04 21:25:45.021466+08,f,"","",1234
7,4,jackieng,ng,jac@1.com,"","","",2024-10-04 21:28:12.728302+08,2024-10-04 21:28:51.98384+08,t,jwmdp6zk,"",adafd
8,4,jackie,ng,jadf@1.com,"","","",2024-10-04 22:18:21.575354+08,2024-10-04 22:19:10.773648+08,t,jrc2cy1v,"",123
9,4,jackieng,ng,jackieng2000@yahoo.com,"","","",2024-10-05 09:04:33.387424+08,2024-10-05 09:05:51.452815+08,t,561z1n5s,"",123456
10,4,jackie,ng,jackieng2000@yahoo.com.hk,"","","",2024-10-05 10:06:46.244604+08,2024-10-05 10:07:23.420036+08,t,r9ka1eh1,"",123456
